timestamp	java_pid	java_cpu	k6_pid	k6_cpu
23:34:55	22546	19.3	22625	0.0
23:35:00	22546	2.6	22625	207.9
23:35:05	22546	439.3	22625	2.3
23:35:10	22546	529.5	22625	3.0
23:35:15	22546	557.2	22625	2.6
23:35:20	22546	690.8	22625	3.1
23:35:25	22546	546.8	22625	2.6
23:35:30	22546	562.1	22625	2.4
23:35:35	22546	664.1	22625	2.6
23:35:41	22546	28.1	22625	4.2
23:35:46	22546	6.6	22625	3.9
23:35:51	22546	11.0	22625	4.3
23:35:56	22546	3.9	22625	5.1
23:36:01	22546	3.9	22625	6.1
23:36:06	22546	3.5	22625	5.9
23:36:11	22546	2.9	22625	4.8
23:36:16	22546	5.9	22625	5.0
23:36:21	22546	3.1	22625	5.9
23:36:26	22546	3.9	22625	5.8
23:36:31	22546	7.0	22625	4.5
23:36:36	22546	7.2	22625	4.4
23:36:41	22546	2.0	22625	1.6
23:36:46	22546	2.7	22625	1.5
23:36:51	22546	3.6	22625	1.8
23:36:56	22546	4.9	22625	2.1
23:37:01	22546	4.8	22625	61.8
23:37:06	22546	5.3	22625	40.6
23:37:11	22546	3.5	22625	2.3
23:37:16	22546	9.7	22625	3.2
23:37:21	22546	5.3	22625	2.3
23:37:26	22546	9.3	22625	2.8
23:37:31	22546	6.0	22625	2.7
23:37:36	22546	6.5	22625	2.8
23:37:41	22546	7.3	22625	3.4
23:37:46	22546	7.6	22625	3.8
23:37:51	22546	7.9	22625	3.3
23:37:56	22546	6.7	22625	3.7
23:38:01	22546	25.0	22625	4.5
23:38:06	22546	8.1	22625	4.2
23:38:11	22546	12.6	22625	4.3
23:38:16	22546	5.5	22625	4.4
23:38:21	22546	7.2	22625	4.1
23:38:26	22546	11.8	22625	4.9
23:38:31	22546	8.6	22625	5.8
23:38:36	22546	6.4	22625	5.1
23:38:41	22546	6.2	22625	5.5
23:38:47	22546	12.1	22625	7.6
23:38:52	22546	9.0	22625	7.2
23:38:57	22546	8.1	22625	7.4
23:39:02	22546	11.8	22625	8.9
23:39:07	22546	20.1	22625	96.4
23:39:12	22546	12.5	22625	18.0
23:39:17	22546	11.4	22625	9.4
23:39:22	22546	34.0	22625	10.9
23:39:27	22546	13.6	22625	12.0
23:39:32	22546	18.7	22625	11.2
23:39:37	22546	11.3	22625	11.4
23:39:42	22546	21.3	22625	14.2
23:39:47	22546	20.8	22625	13.0
23:39:52	22546	9.6	22625	11.4
23:39:57	22546	14.3	22625	13.0
23:40:02	22546	10.6	22625	11.1
23:40:07	22546	14.0	22625	12.7
23:40:12	22546	13.1	22625	13.0
23:40:17	22546	15.9	22625	14.0
23:40:22	22546	26.7	22625	15.4
23:40:27	22546	72.0	22625	18.1
23:40:32	22546	17.7	22625	15.8
23:40:37	22546	21.9	22625	18.4
