timestamp	java_pid	java_cpu	k6_pid	k6_cpu
23:14:29	19878	20.4	19959	0.0
23:14:34	19878	234.5	19959	59.0
23:14:39	19878	631.9	19959	3.2
23:14:44	19878	580.2	19959	2.6
23:14:49	19878	600.7	19959	3.0
23:14:55	19878	656.5	19959	2.5
23:15:00	19878	566.6	19959	2.9
23:15:05	19878	581.2	19959	2.7
23:15:10	19878	585.4	19959	2.5
23:15:15	19878	3.8	19959	0.8
23:15:20	19878	6.4	19959	0.8
23:15:25	19878	2.8	19959	0.6
23:15:30	19878	2.2	19959	0.7
23:15:35	19878	2.5	19959	0.9
23:15:40	19878	2.0	19959	0.9
23:15:45	19878	2.3	19959	0.8
23:15:50	19878	2.4	19959	0.6
23:15:55	19878	3.0	19959	2.3
23:16:00	19878	2.7	19959	2.4
23:16:05	19878	2.0	19959	1.7
23:16:10	19878	6.2	19959	2.3
23:16:15	19878	3.5	19959	2.1
23:16:20	19878	4.8	19959	1.4
23:16:25	19878	2.4	19959	2.2
23:16:30	19878	7.2	19959	3.1
23:16:35	19878	4.5	19959	93.0
23:16:40	19878	1.1	19959	1.8
23:16:45	19878	4.8	19959	2.9
23:16:50	19878	3.1	19959	3.7
23:16:55	19878	1.8	19959	1.8
23:17:00	19878	2.3	19959	2.9
23:17:05	19878	2.1	19959	3.1
23:17:10	19878	2.4	19959	3.2
23:17:15	19878	13.2	19959	3.1
23:17:20	19878	3.4	19959	3.4
23:17:25	19878	3.2	19959	3.5
23:17:30	19878	4.0	19959	3.8
23:17:35	19878	5.8	19959	4.1
23:17:40	19878	5.5	19959	4.2
23:17:45	19878	4.5	19959	3.5
23:17:51	19878	21.4	19959	3.7
23:17:56	19878	12.8	19959	1.9
23:18:01	19878	4.2	19959	1.9
23:18:06	19878	7.1	19959	1.9
23:18:11	19878	3.7	19959	1.4
23:18:16	19878	19.1	19959	2.2
23:18:21	19878	3.6	19959	2.3
23:18:26	19878	8.3	19959	3.6
23:18:31	19878	13.1	19959	3.2
23:18:36	19878	4.7	19959	3.4
23:18:41	19878	15.8	19959	51.6
23:18:46	19878	21.2	19959	32.0
23:18:51	19878	14.7	19959	24.8
23:18:56	19878	12.1	19959	31.2
23:19:01	19878	16.0	19959	4.5
23:19:06	19878	26.0	19959	7.4
23:19:11	19878	8.7	19959	8.0
23:19:16	19878	3.3	19959	2.5
23:19:21	19878	3.5	19959	2.6
23:19:26	19878	3.8	19959	3.1
23:19:31	19878	5.4	19959	3.6
23:19:36	19878	5.1	19959	3.6
23:19:41	19878	7.4	19959	3.9
23:19:46	19878	8.8	19959	4.7
23:19:51	19878	6.5	19959	3.8
23:19:56	19878	8.8	19959	4.1
23:20:01	19878	58.5	19959	4.6
23:20:06	19878	17.2	19959	6.3
23:20:11	19878	61.2	19959	9.7
