timestamp	java_pid	java_cpu	k6_pid	k6_cpu
23:42:21	23475	8.1	23560	0.0
23:42:26	23475	586.0	23560	2.2
23:42:31	23475	615.4	23560	2.5
23:42:36	23475	692.2	23560	3.2
23:42:41	23475	490.7	23560	6.5
23:42:46	23475	0.3	23560	0.1
23:42:51	23475	0.3	23560	0.1
23:42:56	23475	0.4	23560	0.4
23:43:01	23475	1.8	23560	0.4
23:43:06	23475	0.6	23560	0.3
23:43:11	23475	0.6	23560	0.1
23:43:16	23475	0.3	23560	0.3
23:43:22	23475	0.5	23560	0.1
23:43:27	23475	0.2	23560	0.1
23:43:32	23475	1.7	23560	0.2
23:43:37	23475	0.1	23560	0.2
23:43:42	23475	2.6	23560	0.1
23:43:47	23475	1.7	23560	0.1
23:43:52	23475	1.1	23560	0.1
23:43:57	23475	1.7	23560	0.2
23:44:02	23475	1.6	23560	0.2
23:44:07	23475	0.9	23560	0.1
23:44:12	23475	0.8	23560	0.2
23:44:17	23475	1.2	23560	0.2
23:44:22	23475	0.6	23560	0.1
23:44:27	23475	1.5	23560	0.0
23:44:32	23475	1.2	23560	0.1
23:44:37	23475	0.9	23560	0.1
23:44:42	23475	50.8	23560	78.9
23:44:47	23475	28.2	23560	107.9
23:44:52	23475	9.9	23560	44.8
23:44:57	23475	8.3	23560	55.9
23:45:02	23475	14.1	23560	90.7
23:45:07	23475	29.5	23560	36.0
23:45:12	23475	200.6	23560	32.9
23:45:18	23475	53.2	23560	42.2
23:45:23	23475	8.4	23560	56.5
23:45:28	23475	24.4	23560	83.1
23:45:33	23475	4.4	23560	54.5
23:45:38	23475	4.8	23560	34.7
23:45:43	23475	50.0	23560	39.7
23:45:48	23475	11.5	23560	75.8
23:45:53	23475	5.9	23560	71.6
23:45:58	23475	75.0	23560	42.2
23:46:03	23475	3.0	23560	60.4
23:46:08	23475	7.9	23560	118.7
23:46:14	23475	71.5	23560	42.1
23:46:19	23475	24.4	23560	53.7
23:46:24	23475	13.6	23560	67.2
23:46:29	23475	32.1	23560	109.7
23:46:34	23475	15.3	23560	106.5
23:46:39	23475	32.6	23560	28.4
23:46:45	23475	35.7	23560	47.5
23:46:50	23475	21.3	23560	34.5
23:46:55	23475	20.6	23560	39.9
23:47:00	23475	28.8	23560	47.7
23:47:05	23475	3.2	23560	50.5
23:47:10	23475	14.6	23560	66.7
23:47:15	23475	30.6	23560	97.4
23:47:20	23475	13.8	23560	118.2
23:47:25	23475	22.0	23560	110.1
23:47:30	23475	29.3	23560	39.3
23:47:36	23475	5.6	23560	35.2
23:47:41	23475	17.9	23560	28.5
23:47:46	23475	13.7	23560	11.7
23:47:51	23475	8.9	23560	25.7
23:47:56	23475	8.9	23560	31.2
23:48:01	23475	11.5	23560	46.7
23:48:06	23475	4.7	23560	19.9
23:48:11	23475	21.2	23560	20.4
23:48:17	23475	79.8	23560	28.8
23:48:22	23475	9.9	23560	25.3
23:48:27	23475	28.0	23560	29.8
23:48:32	23475	31.4	23560	24.7
23:48:37	23475	8.0	23560	9.6
23:48:42	23475	16.7	23560	55.4
23:48:47	23475	40.5	23560	24.6
23:48:52	23475	9.5	23560	6.2
23:48:58	23475	25.9	23560	40.9
23:49:03	23475	30.5	23560	26.3
23:49:08	23475	17.6	23560	21.2
23:49:13	23475	33.2	23560	31.1
23:49:18	23475	30.6	23560	24.6
23:49:23	23475	29.5	23560	36.1
23:49:29	23475	36.6	23560	22.8
23:49:34	23475	13.9	23560	31.6
23:49:39	23475	31.9	23560	48.9
23:49:44	23475	34.0	23560	35.4
23:49:49	23475	16.5	23560	37.1
23:49:54	23475	12.3	23560	32.4
23:50:00	23475	18.8	23560	30.8
23:50:05	23475	18.8	23560	26.7
23:50:10	23475	39.7	23560	36.9
23:50:15	23475	19.0	23560	42.4
23:50:20	23475	47.6	23560	30.6
