timestamp	java_pid	java_cpu	k6_pid	k6_cpu
23:21:36	20815	32.4	20896	0.0
23:21:41	20815	500.3	20896	8.6
23:21:46	20815	462.9	20896	2.3
23:21:51	20815	526.7	20896	2.8
23:21:56	20815	484.8	20896	1.8
23:22:01	20815	566.1	20896	2.5
23:22:06	20815	502.6	20896	2.6
23:22:11	20815	636.3	20896	3.0
23:22:16	20815	525.4	20896	3.3
23:22:21	20815	4.8	20896	5.1
23:22:26	20815	7.8	20896	5.0
23:22:31	20815	2.4	20896	5.0
23:22:36	20815	6.9	20896	5.0
23:22:41	20815	4.7	20896	4.9
23:22:46	20815	5.0	20896	5.1
23:22:51	20815	6.8	20896	5.3
23:22:56	20815	24.1	20896	4.5
23:23:01	20815	8.7	20896	216.5
23:23:06	20815	3.5	20896	6.0
23:23:11	20815	9.3	20896	5.5
23:23:16	20815	12.2	20896	5.6
23:23:21	20815	5.2	20896	1.4
23:23:26	20815	11.2	20896	2.3
23:23:31	20815	16.2	20896	2.0
23:23:36	20815	8.2	20896	2.5
23:23:41	20815	48.3	20896	2.4
23:23:47	20815	7.9	20896	2.7
23:23:52	20815	11.5	20896	3.1
23:23:57	20815	3.9	20896	2.6
23:24:02	20815	9.2	20896	2.6
23:24:07	20815	4.7	20896	2.8
23:24:12	20815	7.2	20896	2.8
23:24:17	20815	8.8	20896	3.9
23:24:22	20815	4.7	20896	4.0
23:24:27	20815	5.6	20896	3.9
23:24:32	20815	5.5	20896	3.7
23:24:37	20815	6.8	20896	4.6
23:24:42	20815	8.2	20896	4.2
23:24:47	20815	8.9	20896	4.7
23:24:52	20815	10.4	20896	4.1
23:24:57	20815	7.1	20896	4.5
23:25:02	20815	8.5	20896	24.7
23:25:07	20815	66.0	20896	56.2
23:25:12	20815	10.4	20896	6.6
23:25:17	20815	7.2	20896	5.9
23:25:22	20815	14.2	20896	6.3
23:25:27	20815	35.6	20896	6.9
23:25:32	20815	21.5	20896	7.4
23:25:37	20815	23.6	20896	7.5
23:25:42	20815	18.5	20896	9.1
23:25:47	20815	8.6	20896	8.0
23:25:52	20815	9.7	20896	8.6
23:25:57	20815	42.8	20896	10.7
23:26:02	20815	13.0	20896	11.9
23:26:07	20815	11.4	20896	10.2
23:26:12	20815	13.3	20896	10.4
23:26:17	20815	13.4	20896	11.3
23:26:22	20815	15.3	20896	11.7
23:26:27	20815	15.2	20896	11.8
23:26:32	20815	13.8	20896	14.0
23:26:37	20815	18.5	20896	16.2
23:26:42	20815	21.6	20896	14.2
23:26:47	20815	71.6	20896	15.9
23:26:52	20815	13.3	20896	13.4
23:26:57	20815	14.5	20896	15.6
23:27:03	20815	23.3	20896	17.7
23:27:08	20815	77.0	20896	63.1
23:27:13	20815	44.2	20896	70.6
