timestamp	java_pid	java_cpu	k6_pid	k6_cpu
03:19:05	41681	19.1	41777	0.0
03:19:10	41681	711.5	41777	2.5
03:19:15	41681	713.0	41777	2.5
03:19:20	41681	741.3	41777	2.5
03:19:25	41681	716.4	41777	3.4
03:19:30	41681	673.9	41777	2.3
03:19:35	41681	674.4	41777	2.3
03:19:40	41681	11.0	41777	2.6
03:19:45	41681	5.7	41777	3.2
03:19:50	41681	6.6	41777	2.8
03:19:55	41681	12.8	41777	5.4
03:20:00	41681	5.5	41777	2.5
03:20:05	41681	6.8	41777	3.2
03:20:10	41681	4.3	41777	3.6
03:20:15	41681	3.6	41777	3.5
03:20:20	41681	5.8	41777	2.3
03:20:26	41681	5.3	41777	2.2
03:20:31	41681	2.9	41777	2.7
03:20:36	41681	3.7	41777	3.1
03:20:41	41681	4.0	41777	3.1
03:20:46	41681	2.3	41777	3.4
03:20:51	41681	6.4	41777	29.3
03:20:56	41681	4.4	41777	5.1
03:21:01	41681	4.6	41777	2.6
03:21:06	41681	4.1	41777	3.1
03:21:11	41681	16.2	41777	4.4
03:21:16	41681	9.8	41777	4.1
03:21:21	41681	13.5	41777	4.0
03:21:26	41681	8.9	41777	1.3
03:21:31	41681	17.6	41777	1.5
03:21:36	41681	4.2	41777	1.8
03:21:41	41681	12.0	41777	1.5
03:21:46	41681	3.9	41777	2.1
03:21:51	41681	6.8	41777	1.9
03:21:56	41681	4.0	41777	2.5
03:22:01	41681	7.1	41777	2.1
03:22:06	41681	15.0	41777	1.6
03:22:11	41681	5.4	41777	2.0
03:22:16	41681	4.4	41777	2.0
03:22:21	41681	24.7	41777	3.2
03:22:26	41681	5.3	41777	2.7
03:22:31	41681	10.6	41777	3.7
03:22:36	41681	8.0	41777	4.7
03:22:41	41681	8.1	41777	3.7
03:22:46	41681	12.1	41777	4.3
03:22:51	41681	10.9	41777	4.9
03:22:56	41681	10.5	41777	5.6
03:23:01	41681	10.2	41777	4.7
03:23:07	41681	6.3	41777	3.9
03:23:12	41681	51.1	41777	3.7
03:23:17	41681	16.0	41777	5.8
03:23:22	41681	9.2	41777	4.1
03:23:27	41681	12.8	41777	6.1
03:23:32	41681	13.3	41777	4.4
03:23:37	41681	28.7	41777	6.8
03:23:42	41681	16.6	41777	6.3
03:23:47	41681	11.1	41777	5.6
03:23:52	41681	42.5	41777	8.4
03:23:57	41681	21.1	41777	8.3
03:24:02	41681	43.7	41777	8.0
03:24:07	41681	12.6	41777	8.0
03:24:12	41681	16.0	41777	10.4
03:24:17	41681	28.6	41777	9.0
03:24:22	41681	17.4	41777	8.1
03:24:27	41681	13.2	41777	10.7
03:24:32	41681	16.4	41777	9.9
03:24:37	41681	17.9	41777	16.2
03:24:42	41681	10.0	41777	9.8
