timestamp	java_pid	java_cpu	k6_pid	k6_cpu
02:41:12	37791	12.2	37876	0.0
02:41:17	37791	716.5	37876	3.3
02:41:22	37791	700.5	37876	2.6
02:41:27	37791	734.6	37876	3.0
02:41:32	37791	3.5	37876	0.4
02:41:37	37791	2.6	37876	0.4
02:41:42	37791	3.1	37876	0.4
02:41:47	37791	6.3	37876	0.5
02:41:52	37791	17.1	37876	0.7
02:41:57	37791	4.8	37876	1.6
02:42:02	37791	4.1	37876	1.2
02:42:07	37791	4.8	37876	1.5
02:42:12	37791	6.2	37876	1.1
02:42:17	37791	4.0	37876	0.9
02:42:22	37791	3.0	37876	1.0
02:42:27	37791	5.8	37876	1.3
02:42:33	37791	3.8	37876	1.7
02:42:38	37791	1.7	37876	1.1
02:42:43	37791	1.9	37876	1.8
02:42:48	37791	2.3	37876	2.3
02:42:53	37791	1.8	37876	0.7
02:42:58	37791	1.7	37876	0.9
02:43:03	37791	2.8	37876	1.8
02:43:08	37791	2.3	37876	1.6
02:43:13	37791	2.3	37876	1.1
02:43:18	37791	5.2	37876	1.5
02:43:23	37791	2.5	37876	1.3
02:43:28	37791	7.0	37876	2.5
02:43:33	37791	15.2	37876	2.3
02:43:38	37791	12.5	37876	2.7
02:43:43	37791	7.5	37876	2.5
02:43:48	37791	3.4	37876	2.5
02:43:53	37791	3.7	37876	2.3
02:43:58	37791	4.2	37876	2.7
02:44:03	37791	35.7	37876	3.5
02:44:08	37791	10.0	37876	2.9
02:44:13	37791	9.9	37876	1.1
02:44:18	37791	4.5	37876	2.4
02:44:23	37791	5.0	37876	1.6
02:44:28	37791	5.1	37876	1.6
02:44:33	37791	11.7	37876	3.2
02:44:38	37791	13.0	37876	2.7
02:44:43	37791	6.8	37876	2.5
02:44:48	37791	6.2	37876	2.3
02:44:53	37791	14.6	37876	3.4
02:44:58	37791	30.0	37876	2.4
02:45:03	37791	3.5	37876	1.6
02:45:08	37791	4.7	37876	1.9
02:45:13	37791	6.7	37876	2.8
02:45:18	37791	4.4	37876	2.4
02:45:23	37791	4.6	37876	2.8
02:45:28	37791	4.0	37876	2.4
02:45:33	37791	8.5	37876	3.1
02:45:38	37791	86.4	37876	3.1
02:45:43	37791	6.2	37876	2.6
02:45:48	37791	9.3	37876	2.7
02:45:53	37791	8.7	37876	3.1
02:45:58	37791	7.3	37876	3.3
02:46:03	37791	4.6	37876	2.2
02:46:08	37791	15.7	37876	2.9
02:46:14	37791	11.6	37876	2.3
02:46:19	37791	8.0	37876	2.2
02:46:24	37791	5.4	37876	2.7
