timestamp	java_pid	java_cpu	k6_pid	k6_cpu
03:47:54	44893	29.1	44997	0.0
03:47:59	44893	624.3	44997	2.4
03:48:04	44893	681.4	44997	2.5
03:48:09	44893	636.2	44997	21.3
03:48:14	44893	709.9	44997	2.7
03:48:19	44893	689.0	44997	2.9
03:48:24	44893	661.7	44997	2.2
03:48:29	44893	4.0	44997	6.7
03:48:34	44893	13.3	44997	6.6
03:48:39	44893	7.4	44997	89.1
03:48:44	44893	9.5	44997	6.1
03:48:49	44893	13.5	44997	8.0
03:48:54	44893	4.8	44997	57.9
03:48:59	44893	8.7	44997	8.9
03:49:04	44893	2.9	44997	6.2
03:49:09	44893	5.0	44997	9.2
03:49:15	44893	4.3	44997	6.5
03:49:20	44893	5.5	44997	8.0
03:49:25	44893	3.9	44997	6.5
03:49:30	44893	14.5	44997	1.7
03:49:35	44893	34.5	44997	1.5
03:49:40	44893	8.0	44997	3.6
03:49:45	44893	5.2	44997	2.1
03:49:50	44893	5.9	44997	2.6
03:49:55	44893	5.3	44997	2.2
03:50:00	44893	8.2	44997	4.0
03:50:05	44893	7.1	44997	3.8
03:50:10	44893	12.7	44997	2.7
03:50:15	44893	7.6	44997	4.0
03:50:20	44893	5.5	44997	3.9
03:50:25	44893	8.5	44997	3.6
03:50:30	44893	7.7	44997	4.2
03:50:35	44893	6.5	44997	3.9
03:50:40	44893	21.5	44997	4.1
03:50:45	44893	11.9	44997	3.6
03:50:50	44893	8.9	44997	4.9
03:50:55	44893	10.2	44997	5.2
03:51:00	44893	8.5	44997	5.2
03:51:05	44893	26.8	44997	7.2
03:51:10	44893	12.4	44997	5.2
03:51:15	44893	33.8	44997	5.8
03:51:20	44893	11.6	44997	7.0
03:51:25	44893	14.4	44997	7.8
03:51:30	44893	9.2	44997	8.7
03:51:35	44893	9.9	44997	5.5
03:51:40	44893	10.2	44997	7.2
03:51:45	44893	10.6	44997	7.5
03:51:50	44893	14.8	44997	7.0
03:51:55	44893	8.8	44997	8.1
03:52:00	44893	8.5	44997	8.2
03:52:06	44893	12.4	44997	9.3
03:52:11	44893	10.9	44997	8.0
03:52:16	44893	8.7	44997	8.1
03:52:21	44893	12.1	44997	8.1
03:52:26	44893	8.8	44997	8.2
03:52:31	44893	22.9	44997	12.4
03:52:36	44893	12.4	44997	10.0
03:52:41	44893	22.7	44997	10.8
03:52:46	44893	14.7	44997	11.3
03:52:51	44893	32.3	44997	10.7
03:52:56	44893	17.2	44997	14.0
03:53:01	44893	17.3	44997	13.1
03:53:06	44893	15.9	44997	13.7
03:53:11	44893	40.7	44997	13.7
03:53:16	44893	16.5	44997	14.0
03:53:21	44893	37.5	44997	15.2
