timestamp	java_pid	java_cpu	k6_pid	k6_cpu
03:57:12	45986	27.3	46070	0.0
03:57:17	45986	679.5	46070	2.6
03:57:22	45986	641.5	46070	2.0
03:57:27	45986	657.0	46070	2.4
03:57:32	45986	668.5	46070	2.5
03:57:37	45986	745.1	46070	3.0
03:57:42	45986	673.6	46070	2.9
03:57:47	45986	6.1	46070	8.7
03:57:52	45986	13.9	46070	6.8
03:57:57	45986	4.1	46070	8.5
03:58:02	45986	4.3	46070	7.2
03:58:07	45986	9.2	46070	7.8
03:58:12	45986	9.4	46070	8.6
03:58:17	45986	11.9	46070	9.2
03:58:22	45986	3.8	46070	7.1
03:58:27	45986	3.0	46070	5.1
03:58:32	45986	3.3	46070	7.4
03:58:37	45986	7.6	46070	6.0
03:58:42	45986	4.5	46070	5.9
03:58:47	45986	6.7	46070	1.7
03:58:52	45986	9.7	46070	2.3
03:58:57	45986	23.1	46070	1.9
03:59:02	45986	4.2	46070	1.7
03:59:07	45986	5.1	46070	2.4
03:59:12	45986	7.9	46070	2.5
03:59:17	45986	13.4	46070	2.3
03:59:23	45986	6.1	46070	1.8
03:59:28	45986	7.9	46070	2.8
03:59:33	45986	41.3	46070	2.9
03:59:38	45986	26.3	46070	2.8
03:59:43	45986	8.2	46070	2.7
03:59:48	45986	6.3	46070	2.3
03:59:53	45986	6.9	46070	2.9
03:59:58	45986	9.0	46070	5.7
04:00:03	45986	11.8	46070	4.2
04:00:08	45986	30.3	46070	4.0
04:00:13	45986	8.1	46070	3.9
04:00:18	45986	11.8	46070	5.1
04:00:23	45986	10.7	46070	5.9
04:00:28	45986	9.9	46070	4.4
04:00:33	45986	50.9	46070	4.7
04:00:38	45986	6.9	46070	5.6
04:00:43	45986	12.9	46070	6.4
04:00:48	45986	8.7	46070	6.4
04:00:53	45986	31.8	46070	6.4
04:00:58	45986	9.4	46070	6.7
04:01:03	45986	16.1	46070	6.5
04:01:08	45986	16.2	46070	6.7
04:01:13	45986	10.7	46070	8.7
04:01:18	45986	10.6	46070	9.2
04:01:23	45986	14.5	46070	7.5
04:01:28	45986	12.6	46070	10.2
04:01:33	45986	15.3	46070	10.0
04:01:38	45986	13.2	46070	9.4
04:01:43	45986	11.5	46070	8.5
04:01:48	45986	13.7	46070	9.1
04:01:53	45986	15.3	46070	10.3
04:01:58	45986	8.4	46070	9.5
04:02:03	45986	10.6	46070	10.2
04:02:08	45986	9.7	46070	10.2
04:02:14	45986	15.7	46070	10.8
04:02:19	45986	12.5	46070	10.2
04:02:24	45986	14.5	46070	11.2
04:02:29	45986	20.5	46070	13.5
04:02:34	45986	18.8	46070	15.7
04:02:39	45986	33.2	46070	15.2
